Polling Station (Main and Auxiliary) Details,,,,,,,,,,
AC No. & Name,Polling Station No.,Polling Station Name,Main/Auxiliary Polling Station (M/A),Elector Serial No. From,Elector Serial No. To,Latitude of Polling Station Building,Longitude of Polling Station Building,Electricity facility at PS (Yes/No),Toilet Facility at PS (Yes/No),Ramp Facility at PS (Yes/No)
1,2,3,4,5,6,7,8,9,10,11
70-Alamnagar [11-Madhepura],001,"Rajkiya Buniyadi Madhya Vidyalay,Khada, Left side",Main,1,989,25.65777778,86.83305556,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],002,"Rajkiya Buniyadi Madhya Vidyalay,Khada, Right side",Main,1,926,25.3928,86.4959,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],003,"Sanskrit Uchcha Vidyalay, Khada North Side",Main,1,876,25.637483,86.806439,No,No,No
70-Alamnagar [11-Madhepura],004,"Sanskrit Uchcha Vidyalay, Khada South Side",Main,1,877,25.65722222,86.83361111,No,No,No
70-Alamnagar [11-Madhepura],005,"Upgraded Middle School, Sukhasani, Bayan Bhag",Main,1,519,25.649433,86.805163,No,Yes,Yes
70-Alamnagar [11-Madhepura],005,"Upgraded Middle School, Sukhasani, Dayan Bhag",Auxiliary,520,1051,25.649433,86.805163,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],006,"Uchcha Vidyalay,Khada left side",Main,1,973,25.64944444,86.82138889,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],007,high school khara right side,Main,1,748,25.64944444,86.82138889,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],008,"Madhya Vidyalay, Sinavada, Bayan Bhag",Main,1,692,25.65180038,86.82802424,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],008,"Madhya Vidyalay, Sinavada, Dayan Bhag",Auxiliary,693,1262,25.65180038,86.82802424,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],009,"Panchayat Bhavan, Budhama, Bayan Bhag",Main,1,672,25.64222222,86.83166667,Yes,No,Yes
70-Alamnagar [11-Madhepura],009,"Panchayat Bhavan, Budhama, Dayan Bhag",Auxiliary,673,1366,25.64222222,86.83166667,Yes,No,Yes
70-Alamnagar [11-Madhepura],010,"Madhya Vidyalay, Budhama, Bayan Bhag",Main,1,632,25.63056864,86.84275283,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],010,"Madhya Vidyalay, Budhama, Dayan Bhag",Auxiliary,633,1143,25.63056864,86.84275283,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],011,Utkramit Madhya Vidyalay Baijnathpur baya bhag,Main,1,720,25.6329419,86.84233496,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],012,"Upgraded Middle School, Baijnathpur Right side",Main,1,771,25.6329419,86.84233496,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],013,"Prathmik Vidayalay, Kusthani, Bayan Bhag",Main,1,793,25.62888889,86.84722222,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],013,"Prathmik Vidayalay, Kusthani, Dayan Bhag",Auxiliary,794,1435,25.62888889,86.84722222,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],014,"Panchayat Bhawan Singarpur, Bayan Bhag, Dakshin Bhag",Main,1,674,25.676641,86.844266,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],014,"Panchayat Bhavan Singarpur, Bayan Bhag, Uttar Bhag",Auxiliary,675,1258,25.676641,86.844266,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],015,Panchayat Bhawan Singarpur Daya Bhag,Main,1,863,25.676641,86.844266,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],016,"Madhya Vidayalay, Navtola, Purab Bhag, Bayan Bhag",Main,1,623,25.67520499,86.87071609,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],016,"Madhya Vidayalay, Navtola, Purab Bhag, Dayan Bhag",Auxiliary,624,1246,25.67520499,86.87071609,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],017,"Madhya Vidyalay, Navtola, Pachim Bhag, Bayan Bhag",Main,1,613,25.67520499,86.87071609,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],017,"Madhya Vidyalay, Navtola, Pachim Bhag, Dayan Bhag",Auxiliary,614,1233,25.67520499,86.87071609,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],018,"Madarsa Islamiya Singarpur, Bayan Bhag",Main,1,618,25.67436295,86.8443222,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],018,"Madarsa Islamiya Singarpur, Dayan Bhag",Auxiliary,619,1269,25.67436295,86.8443222,Yes,Yes,Yes
70-Alamnagar [11-Madhepura],019,"MADHAYA VIDALAYA NAYANAGAR, Bayan Bhag",Main,1,626,25.674579,86.87014,No,Yes,Yes
70-Alamnagar [11-Madhepura],019,"MADHAYA VIDALAYA NAYANAGAR, Dayan Bhag",Auxiliary,627,1185,25.674579,86.87014,No,Yes,Yes
