Polling Station (Main and Auxiliary) Details,,,,,,,,,,
AC No. & Name,Polling Station No.,Polling Station Name,Main/Auxiliary Polling Station (M/A),Elector Serial No. From,Elector Serial No. To,Latitude of Polling Station Building,Longitude of Polling Station Building,Electricity facility at PS (Yes/No),Toilet Facility at PS (Yes/No),Ramp Facility at PS (Yes/No)
1,2,3,4,5,6,7,8,9,10,11
111-Goriakothi [16-Siwan],227,Utkramit Madhya Vidyalay Halim Tola Baya Bhag,Main,1,836,26.364181,84.407337,Yes,Yes,Yes
111-Goriakothi [16-Siwan],002,Utkramit Madhya Vidyalay Halim Tola Daya Bhag,Main,1,720,26.364191,84.407409,Yes,Yes,Yes
105-Siwan [16-Siwan],003,Prathamik Vidyalay Lakadi Khurd Daya Bhag,Main,1,977,26.360148,84.380998,Yes,Yes,Yes
105-Siwan [16-Siwan],004,Prathamik Vidyalay Lakadi Khurd Baya Bhag Purab,Main,1,456,26.360185,84.381067,Yes,Yes,Yes
105-Siwan [16-Siwan],004,Prathamik Vidyalay Lakadi Khurd Baya Bhag paschim,Auxiliary,457,,26.360161,84.3811,Yes,Yes,Yes
105-Siwan [16-Siwan],005,Madhya Vidhyalay Lakri Dargah Daya Bhag,Main,1,921,26.35855,84389906,Yes,Yes,Yes
105-Siwan [16-Siwan],006,Madhwa Vidyalay Lakadi Daragah Baya Bhag Purab,Main,1,536,26.358534,84389901,Yes,Yes,Yes
105-Siwan [16-Siwan],006,Madhwa Vidyalay Lakadi Daragah Baya Bhag Pashchim,Auxiliary,537,,26.358857,84389941,Yes,Yes,Yes
105-Siwan [16-Siwan],007,prathmik vidhyalay Nurahata,Main,1,915,26.368283,84.383113,Yes,Yes,Yes
105-Siwan [16-Siwan],008,Tahasil Kachahari Lakadi Daragah Dakshin Bhag,Main,1,577,26.361452,84.391351,Yes,Yes,Yes
105-Siwan [16-Siwan],008,MINI JALAPURTI YOJNA PANI TANKI TOLE GULAM GAUS LAKDI DARGAH BAYA BHAG,Auxiliary,578,,26.36112,84.388583,Yes,Yes,Yes
105-Siwan [16-Siwan],009,Tahasil Kachahari Lakadi Daragah Madhya Bhag,Main,1,627,26.361452,84.391263,Yes,Yes,Yes
105-Siwan [16-Siwan],009,MINI JALAPURTI YOJNA PANI TANKI TOLE GULAM GAUS LAKDI DARGAH DAYA BHAG,Auxiliary,628,,26.36112,84.388583,Yes,Yes,Yes
105-Siwan [16-Siwan],010,Tahsil Kachahari Lakari Dargah Uttar Bhag Baya,Main,1,562,26.361518,84.391283,Yes,Yes,Yes
105-Siwan [16-Siwan],010,Tahsil Kachahari Lakari Dargah Uttar Bhag Daya,Auxiliary,563,,26.361537,84.391291,Yes,Yes,Yes
105-Siwan [16-Siwan],011,Tahseel kachahari lakdi dargah Ke Prangan Me Ch.M.K Baya Bhag,Main,1,566,26.361445,84.391398,Yes,Yes,Yes
105-Siwan [16-Siwan],011,Tahseel kachahari lakdi dargah ke prangan me ch. m. k. daya bhag,Auxiliary,567,,26.361445,84.391398,Yes,Yes,Yes
105-Siwan [16-Siwan],012,Samudayik Bhawan Jalatoliya Daya Bhag Purab,Main,1,578,26.365922,84.399469,Yes,Yes,Yes
105-Siwan [16-Siwan],012,Samudayik Bhawan Jalatoliya Daya Bhag Paschim,Auxiliary,579,,26.365914,84.39946,Yes,Yes,Yes
105-Siwan [16-Siwan],013,Samudayik Bhawan Jalatoliya Baya Bhag Purab,Main,1,480,26.365915,84.399375,Yes,Yes,Yes
105-Siwan [16-Siwan],013,Samudayik Bhawan Jalatoliya Baya Bhag Paschim,Auxiliary,481,,26.365848,84.399453,Yes,Yes,Yes
105-Siwan [16-Siwan],014,Panchayat Bhawan Chulaihata Daya Bhag,Main,1,541,26.353303,84.422355,Yes,Yes,Yes
105-Siwan [16-Siwan],014,Panchayat Bhawan Chulaihata Daya Bhag Ch. M. K.,Auxiliary,542,,26.353303,84.422355,Yes,Yes,Yes
105-Siwan [16-Siwan],015,Panchayat Bhawan Chulaihata Baya Bhag,Main,1,585,26.353303,84.422355,Yes,Yes,Yes
105-Siwan [16-Siwan],016,Utkramit Madhya Vidhyalay Kailgadh Khurd,Main,1,882,26.352658,84.43417,Yes,Yes,Yes
105-Siwan [16-Siwan],017,Anusuchit Jati Samudayik Bhawan Musehari Baya Bhag,Main,1,786,26.361797,84.417868,Yes,Yes,Yes
105-Siwan [16-Siwan],018,Anusuchit Jati Samudayik Bhawan Musehari Daya Bhag,Main,1,661,26.370235,84.425713,Yes,Yes,Yes
105-Siwan [16-Siwan],019,Naya Prathmik Vidhyalay Musehari,Main,1,963,26.369598,84.42696,Yes,Yes,Yes
105-Siwan [16-Siwan],020,kanya prathmik vidhalay nabihata Daya Bhag purab,Main,1,481,26.357877,84.411078,Yes,Yes,Yes
105-Siwan [16-Siwan],020,Prathmik vidhyalay Kanya Nabihata Daya Bhag,Auxiliary,482,,26.352542,84.421698,Yes,Yes,Yes
105-Siwan [16-Siwan],021,knya prathmik vidhaly nbihhata Baya Bhag Purab,Main,1,555,26.358544,84.396418,Yes,Yes,Yes
105-Siwan [16-Siwan],021,knya prathmik vidhaly nbihhata Baya Bhag Paschim,Auxiliary,556,,26.357793,84.410745,Yes,Yes,Yes
105-Siwan [16-Siwan],022,utkramit knya madhya vidhlay malik tola daya bhag,Main,1,961,26.347334,84.420275,Yes,Yes,Yes
105-Siwan [16-Siwan],023,Utkramit Kanya Madhya Vidyalay Malik Tola Baya Bhag,Main,1,949,26.347366,84.420016,Yes,Yes,Yes
105-Siwan [16-Siwan],024,Utkramit Madhya Vidyalay siyadi karn Uttar Bhag Baya,Main,1,573,26.348245,84.394441,Yes,Yes,Yes
105-Siwan [16-Siwan],024,Utkramit Madhya Vidyalay siyadi karn Uttar Bhag Daya,Auxiliary,574,,26.348419,84.394364,Yes,Yes,Yes
105-Siwan [16-Siwan],025,Utkarmit madhya vidhalay Siyadi karn Dakshin Bhag Baya,Main,1,523,26.348287,84.394424,Yes,Yes,Yes
105-Siwan [16-Siwan],025,Utkarmit madhya vidhalay Siyadi karn Dakshin Bhag Daya,Auxiliary,524,,26.348228,84.394606,Yes,Yes,Yes
105-Siwan [16-Siwan],026,Prathmik Vidyalay Rohada Kala Daya Bhag,Main,1,985,26.347025,84.402827,Yes,Yes,Yes
105-Siwan [16-Siwan],027,Prathamik Vidyalay Rohara Kala Baya Bhag Purab,Main,1,537,26.347132,84.402942,Yes,Yes,Yes
105-Siwan [16-Siwan],027,Prathamik Vidyalay Rohara Kala Baya Bhag Paschim,Auxiliary,538,,26.347132,84.402942,Yes,Yes,Yes
105-Siwan [16-Siwan],028,Prathmik Vidhyalay Nabiganj Baya Bhag,Main,1,878,26.363788,84.371762,Yes,Yes,Yes
105-Siwan [16-Siwan],029,Prathamik Vidhyalay Nabiganj Daya Bhag,Main,1,896,26.363788,84.371762,Yes,Yes,Yes
105-Siwan [16-Siwan],030,Madhya Vidyalay Gausihata Purab Bhag Baya,Main,1,488,26.350155,84.368969,Yes,Yes,Yes
105-Siwan [16-Siwan],030,Madhya Vidyalay Gausihata Purab Bhag Daya,Auxiliary,489,,26.350155,84.368969,Yes,Yes,Yes
105-Siwan [16-Siwan],031,Madhwa Vidyalay gosihata Paschim Bhag Baya,Main,1,609,26.350155,84.368969,Yes,Yes,Yes
105-Siwan [16-Siwan],031,Madhwa Vidyalay gosihata Paschim Bhag Daya,Auxiliary,610,,26.350155,84.368969,Yes,Yes,Yes
105-Siwan [16-Siwan],032,Utkramit Madhya Vidhyalay Pakdi Baya Bhag,Main,1,861,26.350461,84.392077,Yes,Yes,Yes
105-Siwan [16-Siwan],033,Utkramit Madhya Vidyalay Pakadi daya Bhag,Main,1,871,26.350461,84.392077,Yes,Yes,Yes
105-Siwan [16-Siwan],034,Samudayik Bhawan Bangara Bujurg,Main,1,621,26.350155,84.368969,Yes,Yes,Yes
105-Siwan [16-Siwan],035,Utkarmit madhay vidhalay Aurai Purab Bhag Baya,Main,1,510,26.339439,84.370875,Yes,Yes,Yes
105-Siwan [16-Siwan],035,Utkarmit madhay vidhalay Aurai Purab Bhag Daya,Auxiliary,511,,26.339431,84.370857,Yes,Yes,Yes
105-Siwan [16-Siwan],036,Utkramit Madhya Vidyalay Aurai Madhya Bhag Purab,Main,1,573,26.33953,84.370849,Yes,Yes,Yes
105-Siwan [16-Siwan],036,Utkramit Madhya Vidyalay Aurai Madhya Bhag Paschim,Auxiliary,574,,26.339474,84.370844,Yes,Yes,Yes
105-Siwan [16-Siwan],037,Utkramit Madhya Vidyalay Aurai Paschmi bhag Baya,Main,1,750,26.339516,84.370838,Yes,Yes,Yes
105-Siwan [16-Siwan],037,Utkramit Madhya Vidyalay Aurai Paschmi bhag Daya,Auxiliary,751,,26.339474,84.370844,Yes,Yes,Yes
105-Siwan [16-Siwan],038,Utkramit Madhya Vidyalay Bhalui Daya Bhag,Main,1,968,26.32605,84.382521,Yes,Yes,Yes
105-Siwan [16-Siwan],039,Utkramit Madhya Vidyalay bhaluee Baya bhag,Main,1,638,26.32641,84.38256,Yes,Yes,Yes
105-Siwan [16-Siwan],040,Prathamik Vidyalay Mahammadpur Baya Bhag,Main,1,722,26.319049,84.384953,Yes,Yes,Yes
105-Siwan [16-Siwan],040,Prathamik Vidyalay Mahammadpur Daya Bhag,Auxiliary,723,,26.319083,84.384952,Yes,Yes,Yes
105-Siwan [16-Siwan],041,Utkramit Madhya Vidyalay Sundri Daya Bhag Purab,Main,1,523,26.332587,84.407885,Yes,Yes,Yes
105-Siwan [16-Siwan],041,Utkramit Madhya Vidyalay Sundri Daya Bhag Paschim,Auxiliary,524,,26.332587,84.407885,Yes,Yes,Yes
105-Siwan [16-Siwan],042,Utkramit Madhya Vidyalay Sundri Baya Bhag Uttar,Main,1,588,26.333775,84.404456,Yes,Yes,Yes
105-Siwan [16-Siwan],042,Utkramit Madhya Vidyalay Sundri Baya Bhag Dakshin,Auxiliary,589,,26.332587,84.407885,Yes,Yes,Yes
105-Siwan [16-Siwan],043,Prathamik Vidyalay Sundarpur Baya Bhag,Main,1,636,26.323911,84.401753,Yes,Yes,Yes
105-Siwan [16-Siwan],043,Prathamik Vidyalay sundarpur Daya Bhag,Auxiliary,637,,26.323842,84.401662,Yes,Yes,Yes
105-Siwan [16-Siwan],044,Samudayik Bhawan Pranpur,Main,1,932,26.336284,84.419729,Yes,Yes,Yes
105-Siwan [16-Siwan],045,Utkramit Madhya Vidyalay Mathurapur Baya Bhag,Main,1,774,26.316029,84.399563,Yes,Yes,Yes
105-Siwan [16-Siwan],046,Utkramit Madhya Vidyalay mathurapur Daya bhag,Main,1,865,26.316013,84.399614,Yes,Yes,Yes
105-Siwan [16-Siwan],047,Utkramit Madhya Vidyalay Pakwaliya Paschmi Bhag Baya,Main,1,699,26.314264,84.402,Yes,Yes,Yes
105-Siwan [16-Siwan],047,Utkramit Madhya Vidyalay Pakwaliya Paschmi Bhag Daya,Auxiliary,700,,26.315937,84.397731,Yes,Yes,Yes
105-Siwan [16-Siwan],048,Utkramit Madhya Vidyalay pakavaliyan Purab Bhag Baya,Main,1,638,26.31594,84.407253,Yes,Yes,Yes
105-Siwan [16-Siwan],048,Utkramit Madhya Vidyalay Pakwaliya Purab Bhag Daya,Auxiliary,639,,26.314264,84.402,Yes,Yes,Yes
105-Siwan [16-Siwan],049,Madhya Vidyalay hathigai daya Bhag purab,Main,1,561,26.309511,84.412178,Yes,Yes,Yes
105-Siwan [16-Siwan],049,Madhya Vidyalay Hthigai Daya Bhag Paschim,Auxiliary,562,,26.309905,84.412835,Yes,Yes,Yes
105-Siwan [16-Siwan],050,Madhwa Vidyalay hathigai Baya bhag Purab,Main,1,573,26.309511,84.412178,Yes,Yes,Yes
105-Siwan [16-Siwan],050,Madhwa Vidyalay Hathigai Baya Bhag Paschim,Auxiliary,574,,26.309511,84.412178,Yes,Yes,Yes
105-Siwan [16-Siwan],051,Panchayat Bhawan Laowan Baya Bhag,Main,1,906,26.307135,84.423038,Yes,Yes,Yes
105-Siwan [16-Siwan],052,pncgayt bhvan lauwan daya bhag,Main,1,755,26.307135,84.423038,Yes,Yes,Yes
105-Siwan [16-Siwan],053,Prathamik Vidyalay Lauwan Baya Bhag,Main,1,480,26.30448,84.43417,Yes,Yes,Yes
105-Siwan [16-Siwan],053,Prathamik Vidyalay Lauwan Daya Bhag,Auxiliary,481,,26.30448,84.43417,Yes,Yes,Yes
105-Siwan [16-Siwan],054,Utkramit Madhya Vidhyalay balachnd Hata Baya Bhag,Main,1,729,26.289321,84.389972,Yes,Yes,Yes
105-Siwan [16-Siwan],054,Utkramit Madhya Vidhyalay balachnd Hata Daya Bhag,Auxiliary,730,,26.289321,84.389972,Yes,Yes,Yes
