Polling Station (Main and Auxiliary) Details,,,,,,,,,,
AC No. & Name,Polling Station No.,Polling Station Name,Main/Auxiliary Polling Station (M/A),Elector Serial No. From,Elector Serial No. To,Latitude of Polling Station Building,Longitude of Polling Station Building,Electricity facility at PS (Yes/No),Toilet Facility at PS (Yes/No),Ramp Facility at PS (Yes/No)
1,2,3,4,5,6,7,8,9,10,11
153-Gopalpur [22-Bhagalpur],1,Prathamik Vidyal Dholabajja Pashchim Bhag,Main,1,841,25.4639214,87.0551949,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],2,Prathamik Vidyalay Dholbazza madhya Bhag,Main,1,842,25.4447534,87.055522,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],3,Prathamik Vidyalay Dholavajja Purav Bhag,Main,1,855,25.4445146,87.0555687,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],4,Utkramit Madhya Vidyalay Luridas TolaRoom No-1,Main,1,606,25.4535047,87.0404224,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],4A,Utkramik Madhya Vidyalay Luri Das Tola Room No-2,Auxiliary,607,1190,25.4578257,87.0415931,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],5,"Madhya Vidyalay Dholavajja, Uttar Bhag",Main,1,941,25.4451805,87.053732,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],6,"Madhya Vidyalay Dholavajja, Dakshin Bhag",Main,1,949,25.4499344,87.0683161,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],7,Prathamik Vidyalay Markosh Pachhiyari Basa Room No-1,Main,1,704,25.4534328,87.0402675,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],7A,Prathmik Vidyalay Markosh Pachhiyari Basa Room No-02,Auxiliary,705,1395,25.4098515,87.0802614,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],8,Madhya Vidyalay Khairapur Kadava Dakshin Bhag,Main,1,959,25.4455426,87.055532,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],9,"Madhya Vidyalay Khairpur Kadava, Uttar Bhag",Main,1,744,25.4499344,87.0683121,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],9A,Uchcha Vidyalay Khairpur Kadwa Uttar Bhag,Auxiliary,745,1456,25.4534505,87.0402785,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],10,Madhya Vidyalay Kadwa Than Dakshin Bhag,Main,1,828,25.4534405,87.0402285,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],11,Madhya Vidyalay Kadwa Than Uttar Bhag,Main,1,868,25.4534305,87.0402685,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],12,Madhya Vidyalay Lokmanpur Kadwa Purab Bhag,Main,1,919,25.4639234,87.0551929,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],13,Madhya Vidyalay Lokmanpur Kadwa Pashchim Bhag Room No-1,Main,1,653,25.4447536,87.05552,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],13A,Madhya Vidyalay Lokmanpur Kadwa Pashchim Bhag Room No 02,Auxiliary,654,1294,25.4445626,87.0555677,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],14,Panchayat Bhavan Khairapur Kadava,Main,1,615,25.4535027,87.0404624,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],14 A,Uchcha Vidyalay Khairpur Kadwa Madhya Bhag,Auxiliary,616,1204,25.4578247,87.041363,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],15,Uchcha Vidyalay Kadwa Uttar Bhag Room No-1,Main,1,631,25.4578447,87.041393,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],15A,Uchch Vidyalay Kadwa Uttar Bhag Room N0-2,Auxiliary,632,1234,25.4451126,87.055532,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],16,Uchcha Vidyalay Kadava Dakshin Bhag Room No-1,Main,1,510,25.4499344,87.0683121,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],16A,Uchch Vidyalay Kadwa Dakshin Bhag Room No-2,Auxiliary,511,1018,25.4534405,87.0402285,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],17,Madhya Vidyalay Thakur Ji Kachahari Tola Purab Bhag Room No-1,Main,1,593,25.4534305,87.0402685,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],17A,Madhya Vidyalay Thakur Ji Kachahari Tola Room No-2,Auxiliary,594,1028,25.4098594,87.0802654,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],18,Madhya Vidyalay Thakur Ji Kachahari Tola Pashchim Bhag,Main,1,985,25.4210662,87.0952415,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],19,Madhya Vidyalay Kashimapur Uttar Bhag,Main,1,819,25.4211662,87.0952386,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],20,Madhya vidyalay Kashimpur dakshin bhag,Main,1,894,25.4211652,87.0952396,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],21,Madhya Vidyalay Kadava Pratap Nagar Purab Bhag Room No-1,Main,1,671,25.418108,87.1201186,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],21A,Madhya Vidyalay Kadwa Pratapnagar Purab Bhag Room No-2,Auxiliary,672,1341,25.4182597,87.1202229,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],22,Madhya Vidyalay Kadava Pratap Nagar Pashchim Bhag,Main,1,958,25.4152591,87.110452,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],23,Madhya Vidyalay Navinanagar Zarakahava,Main,1,678,25.4154682,87.1108497,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],24,Madhya Vidyalay Punama Pratap Nagar,Main,1,967,25.3920259,87.1190338,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],25,Uchcha Vidyalay Punama Pratapanagar,Main,1,721,25.3830328,87.0923146,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],26,Madhya Vidyalay Nawada Purab Bhag Room No-01,Main,1,576,25.3703549,87.0644555,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],26A,Madhya Vidyalay Nawada Purab Bhag Room No-2,Auxiliary,577,1131,25.3663707,87.0712981,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],27,Madhya Vidyalay Nawada Pashchim Bhag,Main,1,800,25.3729169,87.0712174,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],28,Madhya Vidyalay Sakucha Madhya Bhag,Main,1,793,25.3830318,87.0923173,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],29,"Uchcha Vidyalay Nagarah,Purav Bhag",Main,1,717,25.3830394,87.0923132,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],30,"Uchcha Vidyalay Nagarah, Pashchmi Bhag Room No-1",Main,1,572,25.3943251,87.096702,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],30A,Uchch Vidyalay Nagrah Pashchim Bhag Room No-2,Auxiliary,573,1109,25.3943398,87.096467,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],31,Madhya Vidyalay Nagarah Uttar bhag Room No-1,Main,1,664,25.3864554,87.1027658,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],31A,Madhya Vidyalay Nagrah Uttar Bhag Room No-2,Auxiliary,665,1282,25.3901971,87.1000064,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],32,Madhya Vidyalay Nagarah dakshni Bhag Room No-1,Main,1,703,25.3901599,87.1002062,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],32A,Madhya Vidyalay Nagrah Dakshin Bhag Room No-2,Auxiliary,704,1366,25.3910551,87.0989229,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],33,Madhya Vidyalay Ghuski Tola,Main,1,337,25.3908901,87.0990804,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],34,Fulachand Madhya Vidyalay Navagachhiya Purab Bhag,Main,1,602,25.3869594,87.1004458,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],34A,Khadi Bhandar Naugachia Room No-1,Auxiliary,603,1165,25.5136396,87.2693427,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],35,Phulchand madhya Vidyalay Naugachia Pashchim Bhag,Main,1,665,25.3862747,87.1025305,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],35A,Khadi Bhandar Naugachia Room No-2,Auxiliary,666,1231,25.4084713,87.0897269,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],36,Fulachand Madhya Vidyalay Naugachia Madhya Bhag,Main,1,652,25.3879446,87.0854406,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],36A,Khadi Bhandar Naugachia Room No-3,Auxiliary,653,1245,25.4084468,87.0896602,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],37,Prathamik Vidyalay Makhatakiya Purab Bhag Room No-1,Main,1,521,25.3983016,87.0972555,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],37A,Prathmik Vidyalay Makkhatakiya Purab Bhag Room No-2,Auxiliary,522,1067,25.3986317,87.0971908,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],38,Prathamik VidyalayMakkhatakiya Pashchim Bhag Room No-1,Main,1,512,25.4069072,87.0797371,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],38A,Prathmik Vidyalay Makkhatakiya Pashchim Bhag Room No-2,Auxiliary,513,1022,25.4070107,87.0797683,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],39,Goushala Naugachia Room No-1,Main,1,662,25.4069532,87.0797254,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],39A,Gaushala Naugachia Room No-2,Auxiliary,663,1283,25.3998272,87.066655,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],40,Urdu Prathamik Makhatab Mumataj Mohalla Pashchim Bhag Room No-1,Main,1,444,25.39987,87.0666519,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],40A,Urdu Prathmik Makhtab Mumtaj Muhalla Pashchim Bhag Room No-2,Auxiliary,445,1263,25.3936403,87.0910526,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],41,Urdu Prathamik Makhatab Mumataj Mohalla Purab Bhag Room No-1,Main,1,554,25.3939865,87.0910178,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],41A,Urdu Prathmik Makhatab Mumtaj Muhalla Purab Bhag Room No-2,Auxiliary,555,1116,25.393842,87.0906398,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],42,Shahid Munshi Puskalay Navagachhiya Pashchim Bhag,Main,1,718,25.3937615,87.090837,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],43,Shahid Munshi Puskalay Naugachia Purab Bhag Room No-1,Main,1,549,25.3859127,87.0965197,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],43A,Shahid Munshi Pustkalay Naugachia Room No-2,Auxiliary,550,1069,25.3865038,87.0953548,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],44,Lakshmikanya Madhya Vidyalay Navagachhiya Pashchim Bhag Room No-1,Main,1,710,25.386836,87.1022031,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],44A,Lakshmi Kanya Madhya Vidyalay Naugachia Room No-2,Auxiliary,711,1371,25.3866948,87.1022259,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],45,Lakshmikanya Madhya Vidyalay Naugachia Purab Bhag,Main,1,979,25.3872621,87.0962908,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],46,G. B. Collage Naugachia Purab Bhag Room No-1,Main,1,697,25.3736919,87.0790758,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],46A,G. B Collage Naugachia Purab BhagRoom No-2,Auxiliary,698,1347,25.3735089,87.0789621,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],47,G B Collage Naugachia Pashchim Bhag Room No-1,Main,1,701,25.3714713,87.0812029,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],47A,G. B Collage Naugachia Pashchim Bhag Room No-2,Auxiliary,702,1311,25.3715041,87.081336,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],48,Prathamik Vidyalay Dhobiniya Dakshin Bhag,Main,1,947,25.3687149,87.0945511,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],49,Prathamik Vidyalay Dhobaniyo Uttar Bhag Room No-1,Main,1,542,25.3841143,87.0908792,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],49A,Prathmik Vidyalay Dhobiniyan Uttar Bhag Room No-2,Auxiliary,543,1017,25.3658091,87.0777225,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],50,Madhya Vidyalay Navada Uttar Bhag Room No-1,Main,1,681,25.3661323,87.0779008,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],50A,Madhya Vidyalay Nawada Uttar Bhag Room NO-2,Auxiliary,682,1323,25.3959304,87.0622105,Yes,Yes,Yes
153-Gopalpur [22-Bhagalpur],51,Madhya Vidyalay Navada Dakshin Bhag Room No-1,Main,1,679,25.3765084,87.0712982,Yes,Yes,Yes
