Polling Station (Main and Auxiliary) Details,,,,,,,,,,
AC No. & Name,Polling Station No.,Polling Station Name,Main/Auxiliary Polling Station (M/A),Elector Serial No. From,Elector Serial No. To,Latitude of Polling Station Building,Longitude of Polling Station Building,Electricity facility at PS (Yes/No),Toilet Facility at PS (Yes/No),Ramp Facility at PS (Yes/No)
1,2,3,4,5,6,7,8,9,10,11
216-Jehanabad [34-Jehanabad],001,Prathamik VIdyalay Ajay Bigha,Main,1,368,25.236368,84.872758,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],002,Utkramit Madhya Vidyalay Bagahi,Main,1,611,25.230509,84.878097,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],003,Utkramit Madhya Vidyalay Mahamadpur,Main,1,499,25.230509,84.878097,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],004,Samudayik Bhawan Dhava,Main,1,600,25.233257,84.873817,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],005,"Utkramit Madhya Vidyalay, Lakhpur(Dayan Bhag)",Main,1,874,25.23273,87.877522,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],006,"Utkramit Madhya Vidyalay, Lakhpur(Bayan Bhag)",Main,1,924,25.23273,84.877522,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],007,"Prathamik Vidyalay, Akhtiyarpur",Main,1,378,25.188558,84.882589,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],008,"Panchayat Bhawan, Dhanadihri",Main,1,1009,25.228355,84.907693,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],009,Primary School Kamarpur Dhawa,Main,1,601,25.213773,84.887644,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],010,"Madhy Vidyalay, Dhanadihri (Utri Bhag)",Main,1,724,25.228165,84.905588,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],010 A,"Madhy Vidyalay, Dhanadihri (Dakshin Bhag)",Auxiliary,725,1450,25.228165,84.905588,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],011,Utkramit Madhya Vidalya Dihuri (Purbi Bhag),Main,1,608,25.223164,89.5185,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],011 A,Utkramit Madhya Vidalya Dihuri (Pashchim Bhag),Auxiliary,609,1230,25.223164,89.5185,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],012,Utkramit Madhy Vidyalay Kindui (Purbi Bhag),Main,1,668,25.21672,84.865,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],012 A,Utkramit Madhy Vidyalay Kindui (Utar Bhag),Auxiliary,669,1333,25.21672,84.865,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],013,"Prathamik Vidyalay, Nadpura",Main,1,739,25.222833,84.863,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],014,"Prathamik Vidyalay, Zunathi Khurd",Main,1,845,25.210193,84.879,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],015,"Prathamik Vidyalay,Mandal Nagar Musahri",Main,1,587,25.213804,84.86,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],016,"Utkramit Madhy Vidyalay Zunathi, (Purbi Bhag)",Main,1,705,25.213804,84.87,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],016 A,"Utkramit Madhy Vidyalay Zunathi, (Pashchim Bhag)",Auxiliary,706,1414,25.213804,84.87,Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],017,"Utkramit Madhya Vidyalay, Jahangirupur (Purbi Bhag)",Main,1,613,"25°13'7.98""N","84°51'50.99""E",Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],017 A,"Utkramit Madhya Vidyalay, Jahangirupur (Pashchim Bhag)",Auxiliary,614,1231,"25°13'7.98""N","84°51'50.99""E",Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],018,Prakhand Krishi Shakha Samiti Bhawan Pachasi,Main,1,701,"25°12'24.61""N","84°51'54.92""E",Yes,Yes,Yes
216-Jehanabad [34-Jehanabad],019,"Utkramit Madhy Vidyalay, Badheta",Main,1,663,"25°12'24.31""N","84°51'6.68""E",Yes,Yes,Yes
