Timestamp,AC No. & AC Name,Polling Station No.,Polling Station Type,Photo of Polling Station Building (PSB),Photo of Polling Station Premises with PS Building (PSP)
19/09/2020 16:59:20,83-Darbhanga [13-Darbhanga],001,Main,https://drive.google.com/open?id=1_fsivT2VatOsOu9wfDEzb5-GofYNJ9-E,https://drive.google.com/open?id=1Jxi7FS8198VsOjBuRYBscHOBzF_2Abw8
21/09/2020 11:41:07,82-Darbhanga Rural [13-Darbhanga],001,Auxiliary,https://drive.google.com/open?id=1zTk4MUG39_hJ49tnGR48GVFk9IB47bzc,https://drive.google.com/open?id=1f_0SdBW8ql5QY0O4mJ6OLO0o5NC2RXo5
21/09/2020 11:41:23,82-Darbhanga Rural [13-Darbhanga],001,Main,https://drive.google.com/open?id=1zqUFkov1SdV3j64kDrQ2gBWpGzkP4Rbs,https://drive.google.com/open?id=1YBZa-jbuFDx83-glfOn2u0gifwUXGLLH
21/09/2020 11:56:45,82-Darbhanga Rural [13-Darbhanga],002,Main,https://drive.google.com/open?id=1kSJ5xz4YPQOTh5UPKAELsLPhSm0-UgHS,https://drive.google.com/open?id=1ZH8W7PCrijZzyxYfCmDiKnCe-LBJzOfC
21/09/2020 11:58:33,82-Darbhanga Rural [13-Darbhanga],004,Main,https://drive.google.com/open?id=1PoXxrexPugCvpEk0Z4_EfnldbBi8CmQf,https://drive.google.com/open?id=1ujTt38o3kFn6hCINvGu_Tto93MeQAGcT
21/09/2020 12:01:57,82-Darbhanga Rural [13-Darbhanga],005,Main,https://drive.google.com/open?id=1fKDorAahBchOUueNC7qk2lM7xjIHmLk_,https://drive.google.com/open?id=1ph6-zsojbZlb7ODWOv2VjVRJDO0wt4sg
21/09/2020 12:03:08,82-Darbhanga Rural [13-Darbhanga],006,Main,https://drive.google.com/open?id=1zThRewzkvkgsZEimfWcPJ0U2draKUsl4,https://drive.google.com/open?id=1LI2ifw5dIqvTydROKG-oQRfaSHHnP4VD
21/09/2020 12:04:25,82-Darbhanga Rural [13-Darbhanga],007,Main,https://drive.google.com/open?id=1J9_u3dv_G6g-W37xDLDwxMO6InM3ldPm,https://drive.google.com/open?id=1WTEUN2zWyWRmIoSnG-WTIbI4MaoQGgdm
21/09/2020 12:05:37,82-Darbhanga Rural [13-Darbhanga],008,Main,https://drive.google.com/open?id=1ct5z5idYgLSfLpRKcU3MFbTOJ9HKq9Cn,https://drive.google.com/open?id=1n-AypZBwkZ1GbvjCS6Chwc8r63nkSdiy
21/09/2020 12:09:57,82-Darbhanga Rural [13-Darbhanga],008,Auxiliary,https://drive.google.com/open?id=1f8mELzYzliIzHcr41m2gsbIz-_EDpDd3,https://drive.google.com/open?id=1dSem5jwGFQlEQb4tGpIgOXsZSpyUru_K
21/09/2020 12:11:34,82-Darbhanga Rural [13-Darbhanga],009,Main,https://drive.google.com/open?id=1d989Ux7dLmfHKelo4AXrDzIJg4QywzGf,https://drive.google.com/open?id=1tiij7eyAzmTZUTbRiDbr-iQn1jbSQ4Xt
21/09/2020 12:12:41,82-Darbhanga Rural [13-Darbhanga],010,Main,https://drive.google.com/open?id=180_RH1yoPKDpdtjNdHfQT0-Rx16noi2u,https://drive.google.com/open?id=1d4G0Xevxfc6rsJrrCXaZ037Vm2minHsg
21/09/2020 12:15:36,82-Darbhanga Rural [13-Darbhanga],011,Main,https://drive.google.com/open?id=1y8pvJLJ9zPnfTwFvXHF3yrnt9Pzv_Rvq,https://drive.google.com/open?id=1FIA3tGborgzayCfWWMQNh35qLeS08tDf
21/09/2020 12:17:24,82-Darbhanga Rural [13-Darbhanga],012,Main,https://drive.google.com/open?id=1cDdVYVpkYQyhc5PZFReW0YLaRT8dAw-4,https://drive.google.com/open?id=1uUqlyMnvVLr412mtyrnjtHxdbUOaxvRl
21/09/2020 12:18:58,82-Darbhanga Rural [13-Darbhanga],013,Main,https://drive.google.com/open?id=1A_uAy58hmys9lcakGn9-KL57ddfB26Rn,https://drive.google.com/open?id=1bjfeONTWKstlTWw5COPTIFeF9kQThocy
21/09/2020 12:21:35,82-Darbhanga Rural [13-Darbhanga],014,Main,https://drive.google.com/open?id=1aidHW3yRtsP717HdQzJDAuuxaeHbUajs,https://drive.google.com/open?id=16vUBXZxwjho2cu_gB4SjMhcj2GO-C8IJ
21/09/2020 12:22:29,81-Alinagar [13-Darbhanga],015,Main,https://drive.google.com/open?id=1YN2xK_VTGqUTKGLFlIGB_Z150okvfmbG,https://drive.google.com/open?id=1OuMoiNDXgsAXnXz8eFedL9ySUw8Yr2zj
21/09/2020 12:23:44,82-Darbhanga Rural [13-Darbhanga],016,Main,https://drive.google.com/open?id=1QZGCgdqkbxKqndXOJ4iynj3dFXGLzjHg,https://drive.google.com/open?id=1snMTFaK7gzC0l5tUbI-tXLluGAVYJEoi
21/09/2020 12:24:41,82-Darbhanga Rural [13-Darbhanga],016,Auxiliary,https://drive.google.com/open?id=1yk-cY4t2tu2g0rAmHaj__aie2aU-iA22,https://drive.google.com/open?id=1sbRzvjtRA3GdCrq2PiIaGiKKISX-pl0a
21/09/2020 12:25:47,82-Darbhanga Rural [13-Darbhanga],017,Main,https://drive.google.com/open?id=1A4JG9fo6spi6xMH5uujBbr3tex__6zPs,https://drive.google.com/open?id=1qZ6aMzXJB7Kk7BiQzhRQTJK277gnwheA
21/09/2020 12:26:51,82-Darbhanga Rural [13-Darbhanga],018,Main,https://drive.google.com/open?id=187KUYzXAvh1GmdRBXKJbMYPcXLtKA7be,https://drive.google.com/open?id=175OnPLqgOeG8xY0laTcOTScLWXqhExWe
21/09/2020 12:27:43,82-Darbhanga Rural [13-Darbhanga],019,Main,https://drive.google.com/open?id=14Gs_AjIDnBR88PGjO2W4EEgXattUT3ac,https://drive.google.com/open?id=1mrHl6EW1xcoNAoXtpg3cCTeT6gzEdjSK
21/09/2020 12:30:40,82-Darbhanga Rural [13-Darbhanga],019,Auxiliary,https://drive.google.com/open?id=16jcMaIkZLwou6iBsLgRQney1yBRy9EJa,https://drive.google.com/open?id=1zZXS1IKZvX9PvgT_JDCQ7b5ZI_D7ZfQ5
21/09/2020 12:31:43,82-Darbhanga Rural [13-Darbhanga],020,Main,https://drive.google.com/open?id=17ioKk7r_Fdioy9L2-Bf0IuKEaclxRKJo,https://drive.google.com/open?id=1W19aqPdew92oYerhKJGNaWX2jG1pvK-8
21/09/2020 12:32:44,82-Darbhanga Rural [13-Darbhanga],020,Auxiliary,https://drive.google.com/open?id=1C8Jfmch-5ZMVoyIXijB3_asqVHCnsce-,https://drive.google.com/open?id=1SGn21tuNsdCM0rbwqtDPFGC8XGmm_ssS
21/09/2020 12:34:49,82-Darbhanga Rural [13-Darbhanga],021,Main,https://drive.google.com/open?id=1eK1pi1SYezottKaUkVNZjewRdQ0GvcM0,https://drive.google.com/open?id=1rvpblYEoB8UJbB45tIrCrYV8TJz3TzsS
21/09/2020 12:36:17,82-Darbhanga Rural [13-Darbhanga],022,Main,https://drive.google.com/open?id=1kNUQTrs5ihniU-rKbaHsQyesBYfSzG6d,https://drive.google.com/open?id=1CkLV0o4CA72IV3z0WE3KhZJVW4yeX_PB
21/09/2020 12:38:07,82-Darbhanga Rural [13-Darbhanga],023,Main,https://drive.google.com/open?id=1a5dY5uN8H-rVMXvGZFEdG7N7WLbEkD4o,https://drive.google.com/open?id=1a-h3Gd8oqBkU0SsNVSbxQHYfkADu7oRP
21/09/2020 12:39:11,82-Darbhanga Rural [13-Darbhanga],023,Auxiliary,https://drive.google.com/open?id=1qp_v8bdvGX0ye2LXoBbOJPvCPlEqrlGc,https://drive.google.com/open?id=1dYNNMUxbWvhd0rNjU68qOkvoXsjxHV24
21/09/2020 12:40:58,82-Darbhanga Rural [13-Darbhanga],024,Main,https://drive.google.com/open?id=1g5_R1T9CBRS9y3dBfNsDSYVvr6XABOdd,https://drive.google.com/open?id=1G2frXX5KJSHttScCyt9944ZbBA4r7MY3
21/09/2020 12:41:56,82-Darbhanga Rural [13-Darbhanga],024,Auxiliary,https://drive.google.com/open?id=1yUM_DGo_5DuNGK7oCjMgdo0mmg-ebITA,https://drive.google.com/open?id=1dX3Zry3q-TkYsY9Zz79VPA-sol7irZ5X
21/09/2020 12:43:01,82-Darbhanga Rural [13-Darbhanga],025,Main,https://drive.google.com/open?id=1BN5dETifStAq-92DNDAUH728R8-BBQTw,https://drive.google.com/open?id=1BHSHIEcBNQEnr2GjKtNkLdj5VDgkndHl
21/09/2020 12:44:09,82-Darbhanga Rural [13-Darbhanga],026,Main,https://drive.google.com/open?id=1p5DTf9NLTyzQ-wJHpWOnzelZS28vHRSF,https://drive.google.com/open?id=1f1LSD1yT8mdLJrmWVfZbUMTILixC7osj
21/09/2020 12:47:23,82-Darbhanga Rural [13-Darbhanga],026,Auxiliary,https://drive.google.com/open?id=138apC8aPPY90b2GkJS-qivLkgWZcZyiN,https://drive.google.com/open?id=11E35PZiz6FBum4CTjtB5geBxlk04Y_Zh
21/09/2020 12:48:48,82-Darbhanga Rural [13-Darbhanga],027,Main,https://drive.google.com/open?id=1_MyxgCMr5wKim9bTOwTVAnufY-lq0M3h,https://drive.google.com/open?id=1a2UrJF-FunPE4lUb9vWRZyAbT20dxKbv
21/09/2020 12:51:17,82-Darbhanga Rural [13-Darbhanga],027,Auxiliary,https://drive.google.com/open?id=1-UjYFSpd20wYST5QuqnA5FVbav69F0Gz,https://drive.google.com/open?id=1vN2SAxLhYpsbN912UNic2jMTsSu_F3D_
21/09/2020 12:52:34,82-Darbhanga Rural [13-Darbhanga],028,Main,https://drive.google.com/open?id=1rWHYV1K390lfdcGhWXiUQ0S-Z2bNA1Bb,https://drive.google.com/open?id=11r7i911KGdDOl5aO8g80HjPjtRIsGrar
21/09/2020 12:53:40,82-Darbhanga Rural [13-Darbhanga],028,Auxiliary,https://drive.google.com/open?id=1aeVqV9k8bKfgopthv-CF1rREMbEassXC,https://drive.google.com/open?id=1l5hYjRS-y_CWiCHpzxkGse9KXplqkjD5
21/09/2020 12:54:43,82-Darbhanga Rural [13-Darbhanga],029,Main,https://drive.google.com/open?id=1JxPq0wOi6JiTS3F5rPr679HNOUigmXOy,https://drive.google.com/open?id=1EGTh37cN625h-8Bnb-5Pn3JvSSc2zQlQ
21/09/2020 12:56:33,82-Darbhanga Rural [13-Darbhanga],029,Auxiliary,https://drive.google.com/open?id=1P1R_y4KxCU8rgSGXATnUXOLkE2OLl6yZ,https://drive.google.com/open?id=1lOME1Fy9te02rDIkvFdP6JaPbeqMltNG
21/09/2020 12:59:55,82-Darbhanga Rural [13-Darbhanga],030,Main,https://drive.google.com/open?id=1aYj_2gCN0e2bBH3PIa8Uln-iOTc2Nw5p,https://drive.google.com/open?id=15uhsUKzxCTOFY0yrMib1ASxUjowBjrgf
21/09/2020 13:02:12,82-Darbhanga Rural [13-Darbhanga],030,Auxiliary,https://drive.google.com/open?id=1jtpgM6DFZ83VeEzu1BzW6HuKCcKXQnDt,https://drive.google.com/open?id=1QcQtlrvsf3_VM_4aM2StQGTrpAaoA2gK
21/09/2020 13:03:49,82-Darbhanga Rural [13-Darbhanga],031,Main,https://drive.google.com/open?id=1zbn3w5u-74rqIddTH-waDBWTTBavM18x,https://drive.google.com/open?id=1UH1-3KiRjw9CG8DKvarNiioZUgZZvdBy
21/09/2020 13:04:47,82-Darbhanga Rural [13-Darbhanga],032,Main,https://drive.google.com/open?id=1ZmHrm7Fbe97D50JtYWcCYFYYkq8HHY3g,https://drive.google.com/open?id=1Inh9HXSSnNUBnkiQceily6GjE30L96eJ
21/09/2020 13:05:50,82-Darbhanga Rural [13-Darbhanga],032,Auxiliary,https://drive.google.com/open?id=1sU3dc0Ksvd4FF4YuLmxhFwNT56Umo0K7,https://drive.google.com/open?id=1FFxVmfiaGzhcM9tVPZv4DLEUTd1ix1Ex
21/09/2020 13:06:53,82-Darbhanga Rural [13-Darbhanga],033,Main,https://drive.google.com/open?id=11EhEVrriIkmLJKpXPefQFwBrWp3GSQNF,https://drive.google.com/open?id=1-m7d9QXJU7URQckWcEnKqXJbokifkyiR
21/09/2020 13:07:43,82-Darbhanga Rural [13-Darbhanga],033,Auxiliary,https://drive.google.com/open?id=1YJgu9o-4h9p8HeLy1dDWpJeTzZC74RMQ,https://drive.google.com/open?id=1Oe68u0dwEFAgCYYxn7Tya1l9Gn5Ahf43
21/09/2020 13:08:41,82-Darbhanga Rural [13-Darbhanga],034,Main,https://drive.google.com/open?id=14MdQGPh6mc5SQ3WeroFHytIzJHITIUJL,https://drive.google.com/open?id=13GvwmlUcrxDN6_BrgDUUFBn6GYabPoiz
21/09/2020 13:15:25,82-Darbhanga Rural [13-Darbhanga],034,Auxiliary,https://drive.google.com/open?id=1RfsI498V4trVUf1z6c7iHRoScwJEp-fW,https://drive.google.com/open?id=1SbBBg8o2JE3-x-XRW5xcXqWNyUDbciLd
21/09/2020 13:16:16,82-Darbhanga Rural [13-Darbhanga],035,Main,https://drive.google.com/open?id=1QdPVaCfCzhE8jq5H5eFANzEA_GEkXsmD,https://drive.google.com/open?id=1u7BiaIWUvMJVp9qj10aEv3RqQvCNQjHR
21/09/2020 13:17:11,82-Darbhanga Rural [13-Darbhanga],036,Main,https://drive.google.com/open?id=1yPG2zRP6j75I1GdpCesQGaJjVa9a3Hyl,https://drive.google.com/open?id=17bQEeJecUwAi4Ak2pZbOa3ofSBXY0cyt
21/09/2020 13:19:53,82-Darbhanga Rural [13-Darbhanga],037,Main,https://drive.google.com/open?id=1N0gaskQ7bUphD_RLaeL0y6MBU9yqZTnW,https://drive.google.com/open?id=1vZcjfYxfXy6CpCTY_TFw4LJ_Vf1Ar_ua
21/09/2020 13:21:01,82-Darbhanga Rural [13-Darbhanga],037,Auxiliary,https://drive.google.com/open?id=1r8C7i7NdxX7SHcXss9OkFbVlK3JymXme,https://drive.google.com/open?id=1NCXYPuxFOR4qSghd1uXdetb7ytS79nCV
21/09/2020 13:22:02,82-Darbhanga Rural [13-Darbhanga],038,Main,https://drive.google.com/open?id=1pMuD2qq1Op-C57ZpAiMk8PUJh9GjIA8z,https://drive.google.com/open?id=1GuLtLu4eKvzXnZOBJ9IYCUYnUupi8u_x
21/09/2020 13:23:35,82-Darbhanga Rural [13-Darbhanga],039,Main,https://drive.google.com/open?id=1T9sljfTc_Mc5V9_34QyeV_86R284RXQk,https://drive.google.com/open?id=1Ul8U9527UahMpG8k0_Z2ZAqngL7raSSo
21/09/2020 13:25:27,82-Darbhanga Rural [13-Darbhanga],040,Main,https://drive.google.com/open?id=1zPiP6JFcBhAI-DTqQEzloGC0wJVxHzoE,https://drive.google.com/open?id=1NffZLVugy0HAMYKGYX5mDNzzcASl2kg0
21/09/2020 13:26:53,82-Darbhanga Rural [13-Darbhanga],040,Auxiliary,https://drive.google.com/open?id=1LFqtce7hxNaEaZmBqs1jW5wyK9uI-kZt,https://drive.google.com/open?id=1ZMvr_mYIBingipuLySR6kY3Nb9y0ljJs
21/09/2020 13:28:38,82-Darbhanga Rural [13-Darbhanga],041,Main,https://drive.google.com/open?id=16u5r5MixPEtT1idI_YoSHgPO5bQHAzmV,https://drive.google.com/open?id=1nBFLBXYs7LsBM9VsR8sIAMCFlvfUl427
21/09/2020 13:31:35,82-Darbhanga Rural [13-Darbhanga],043,Main,https://drive.google.com/open?id=1WTmVCojvW7nvAwARF1-nhfGiECJTcGtE,https://drive.google.com/open?id=1FdDvTDUMDcJXxb8r7LzyE4T8PIlQn3q2
21/09/2020 13:33:23,82-Darbhanga Rural [13-Darbhanga],044,Main,https://drive.google.com/open?id=1vhEBD_r371tRXCGCf2iSXiJ3hjaZyafd,https://drive.google.com/open?id=1C-Q_Hz8yzWAsksPWsVASi_uZL7M7i92h
21/09/2020 13:35:33,82-Darbhanga Rural [13-Darbhanga],044,Auxiliary,https://drive.google.com/open?id=1N3oVM3W-gCtiyAFPyvYe0Cn2xmJ0mcT7,https://drive.google.com/open?id=18ZhSM1Q_io405sppc1FcCxjVY0WTVDIz
