Polling Station (Main and Auxiliary) Details,,,,,,,,,,
AC No. & Name,Polling Station No.,Polling Station Name,Main/Auxiliary Polling Station (M/A),Elector Serial No. From,Elector Serial No. To,Latitude of Polling Station Building,Longitude of Polling Station Building,Electricity facility at PS (Yes/No),Toilet Facility at PS (Yes/No),Ramp Facility at PS (Yes/No)
1,2,3,4,5,6,7,8,9,10,11
199-Brahampur,1,"Vir Kunvar Sinh Bhavan, Vishunpur",Main,1,835,25.6733,84.1112,Yes,Yes,Yes
199-Brahampur,2,"Madhya Vidyalay, Manikpur Purwi Bhag",Main,1,500,25.67215,84.09405,Yes,Yes,Yes
199-Brahampur,2A,Madhay Vidyalay Manikpur Uttar Bhag,Auxiliary,501,1041,25.6733,84.1112,Yes,Yes,Yes
199-Brahampur,3,"Madhya Vidyalay, Manikpur Pashchim Bhag",Main,1,600,25.67215,84.09405,Yes,Yes,Yes
199-Brahampur,3A,Madhy Vidyalay Manikpur Dakshin Bhag,Auxiliary,601,1148,25.67215,84.09405,Yes,Yes,Yes
199-Brahampur,4,Uchcha Vidyalay Jayapavahari Keshopur Dakshin Bhag,Main,1,700,25.669,84.0875,Yes,Yes,Yes
199-Brahampur,4A,Uchch Vidyalaya Jaypawhari Keshopur Uttar Bhag,Auxiliary,701,1398,25.669,84.0875,Yes,Yes,Yes
199-Brahampur,5,Madhya Vidyalay Keshopur Paschim Bhag,Main,1,946,25.67515,84.0889,Yes,Yes,Yes
199-Brahampur,6,"Madhya Vidyalay Keshopur, Purwi Bhag",Main,1,855,25.67515,84.0889,Yes,Yes,Yes
199-Brahampur,7,"Karpuri Bhavan, Jayapavahari Keshopur",Main,1,607,25.6693,84.0878,Yes,Yes,Yes
199-Brahampur,8,Utkramit Madhya Vidyalay Tilakaray Ke Hata Dakshin Bhag (Rajpur Parasanpah me Avasthit),Main,1,500,25.6771,84.1235,Yes,Yes,Yes
199-Brahampur,8A,Utkramit Madhya Vidyalaya Tilak Rai Ke Hata (Rajpur Parsanpah me Awasthit) uttar Bhag,Auxiliary,501,1067,25.6771,84.1235,Yes,Yes,Yes
199-Brahampur,9,Prathmik Vidyalay Bhikshuk Ray Ke Hata (Rajpur Parasanpah Me Awsthith) Dakshin Bhag,Main,1,875,25.68388,84.12205,Yes,Yes,Yes
199-Brahampur,10,"PRATHMIK VIDYALAY,BHIKSHUK RAY KE HATA(RAJPUR PARASNPAH ME AWSATH) UTARI BHAG",Main,1,666,25.68388,84.12205,Yes,Yes,Yes
199-Brahampur,11,"Prathmik Vidyalay, Toukal Ray Ke Dera Rajpur Kala Parnahi Me Awsthith Paschim Bhag",Main,1,600,25.68874085,84.10666344,Yes,Yes,Yes
199-Brahampur,11A,Prathmik Vidyalaya Taukal Rai Ke Dera Rajpur Kala Parnahi Me Awasthit Purab Bhag,Auxiliary,601,1153,25.68874085,84.10666344,Yes,Yes,Yes
199-Brahampur,12,Madhya Vidyalaya Chhotaka Rajpur Kala Patasar Me Avasthit Pashchim Bhag,Main,1,600,25.67121,84.11148,Yes,Yes,Yes
199-Brahampur,12A,Madhya Vidyalaya Chhotka Rajpur Kala Patsar Me Awasthit Uttar Bhag,Auxiliary,601,1145,25.67121,84.11148,Yes,Yes,Yes
199-Brahampur,13,"Madhya Vidyalay, Chhotaka Rajpur Kala Patasar me Avasthit Purwi Bhag",Main,1,508,25.67121,84.11148,Yes,Yes,Yes
199-Brahampur,14,"Madhya Vidyalay, Chhotaka Rajpur Kala Patasar Avasthit Madhya Bhag",Main,1,600,25.67121,84.11148,Yes,Yes,Yes
199-Brahampur,14A,Madhya Vidyalaya Chhotka Rajpur Kala Patsar Me Awasthit Dakshin Bhag,Auxiliary,601,1301,25.67121,84.11148,Yes,Yes,Yes
199-Brahampur,15,"Uchcha Vidyalay, Badaka Rajpur Kala Me Awashthith (Utari Bhag)",Main,1,500,25.6779,84.11148,Yes,Yes,Yes
199-Brahampur,15A,Uchch Vidyalaya Badka Rajpur Kala me Awasthit Purab bhag,Auxiliary,501,1057,25.6779,84.11148,Yes,Yes,Yes
199-Brahampur,16,"Uchch Vidhyalay, Badka Rajpur Kala Me Aswasthit (Dakshin Bhag)",Main,1,966,25.6228,84.2173,Yes,Yes,Yes
199-Brahampur,17,"Madhya Vidyalay, Badaka Rajpur Kala Me Avasthit Purwi Bhag",Main,1,700,25.6779,84.12215,Yes,Yes,Yes
199-Brahampur,17A,Madhya Vidyalaya Badka Rajpur Kala me Awasthit Dakshin Bhag,Auxiliary,701,1449,25.6779,84.12215,Yes,Yes,Yes
199-Brahampur,18,"Madhya Vidyalay, Badaka Rajpur Kala Me Avasthit, Pashchim Bhag",Main,1,754,25.6779,84.12215,Yes,Yes,Yes
199-Brahampur,19,Madhya Vidyalaya Badka Rajpur Kala me Awasthit Uttar Bhag,Main,1,818,25.6779,84.12215,Yes,Yes,Yes
199-Brahampur,20,Utkramit Madhya Vidyalay Rajpur Kala (Rajpur Kala Me Awasthit Gaon k Purab) Purwi Bhag,Main,1,600,25.6785,84.1303,Yes,Yes,Yes
199-Brahampur,20A,Utkramit Madhya Vidyalaya Rajpur Kala(Rajpur Kala Me Awasthit Gaon Ke Purab) Uttar Bhag,Auxiliary,601,1275,25.6785,84.1303,Yes,Yes,Yes
199-Brahampur,21,Utkramit Madhya Vidyalay Rajpur Kala (Rajpur Kala Me Awasthit Gaon k Purab) Pashchimi Bhag,Main,1,500,25.6785,84.1303,Yes,Yes,Yes
199-Brahampur,21A,Utkramit Madhya Vidyalaya Rajpur Kala(Rajpur Kala Me Awasthit Gaon Ke purab) Dakshin Bhag,Auxiliary,501,1021,25.6785,84.1303,Yes,Yes,Yes
199-Brahampur,22,Utkramit Madhya Vidyalay Dada baba Ke Dera Dullahpah Dakshin Bhag,Main,1,600,25.69855,84.14555,Yes,Yes,Yes
199-Brahampur,22A,Utkramit Madhya Vidyalaya Dada Baba ke Dera Dullpah Uttar Bhag,Auxiliary,601,1242,25.69855,84.14555,Yes,Yes,Yes
199-Brahampur,23,"Prathmik Vidyalay, Thagani Ke Dera Dakshin Bhag",Main,1,600,25.6907,84.1382,Yes,Yes,Yes
