Polling Station (Main and Auxiliary) Details,,,,,,,,,,
AC No. & Name,Polling Station No.,Polling Station Name,Main/Auxiliary Polling Station (M/A),Elector Serial No. From,Elector Serial No. To,Latitude of Polling Station Building,Longitude of Polling Station Building,Electricity facility at PS (Yes/No),Toilet Facility at PS (Yes/No),Ramp Facility at PS (Yes/No)
1,2,3,4,5,6,7,8,9,10,11
240-Sikandra (SC) [38-Jamui],1,01 U.M.S KAITHA N. PART,M,1,422,24.9797,85.843078,yes,yes,yes
240-Sikandra (SC) [38-Jamui],1A,01 U.M.S KAITHA M. PART,A,423,1041,24.97988,85.843287,yes,yes,yes
240-Sikandra (SC) [38-Jamui],2,02 U.M.S KAITHA S. PART,M,1,681,24.97975,85.84323075,yes,yes,yes
240-Sikandra (SC) [38-Jamui],2A,02 U.M.S KAITHA W. PART,A,682,1039,24.97982,85.843085,yes,yes,yes
240-Sikandra (SC) [38-Jamui],3,03 M.S TAJPUR,M,1,571,24.967177,85.860187,yes,yes,yes
240-Sikandra (SC) [38-Jamui],4,04 P.S MAHTPUR,M,1,785,24.958515,85.858615,yes,yes,yes
240-Sikandra (SC) [38-Jamui],5,05 P.S DIHARI,Main,1,729,24.963084,85.863001,yes,yes,yes
240-Sikandra (SC) [38-Jamui],6,06 U.M.S DHANAR,M,1,939,24.948084,85.863351,yes,yes,yes
240-Sikandra (SC) [38-Jamui],7,07 U.M.S TELAR N. PART,M,1,716,24.943841,85.85889,yes,yes,yes
240-Sikandra (SC) [38-Jamui],7A,07 U.M.S TELAR S. PART,A,717,1426,24.94386,85.858881,yes,yes,yes
240-Sikandra (SC) [38-Jamui],8,08 M.S. ARHA S. PART,M,1,658,24.940234,85.832601,yes,yes,yes
240-Sikandra (SC) [38-Jamui],8A,08 M.S. ARHA N. PART,A,659,1314,24.94019,85.832926,yes,yes,yes
240-Sikandra (SC) [38-Jamui],9,09 H.S. ARHA W. PART,M,1,529,24.937722,85.827942,yes,yes,yes
240-Sikandra (SC) [38-Jamui],9A,09 H.S. ARHA E. PART,A,530,1027,24.93769,85.827932,yes,yes,yes
240-Sikandra (SC) [38-Jamui],10,10 M.S ARHA E. PART,M,1,971,24.940217,85.832767,yes,yes,yes
240-Sikandra (SC) [38-Jamui],11,11 M.S ARHA W. PART,M,1,977,24.940162,85.832925,yes,yes,yes
240-Sikandra (SC) [38-Jamui],12,12 U.M.S PALSA BUJURG E. PART,M,1,656,24.942048,85.828875,yes,yes,yes
240-Sikandra (SC) [38-Jamui],12A,12 U.M.S PALSA BUJURG W. PART,A,657,1270,24.94195,85.828989,yes,yes,yes
240-Sikandra (SC) [38-Jamui],13,13 U.M.S MATBALVA,M,1,517,24.925802,85.842136,yes,yes,yes
240-Sikandra (SC) [38-Jamui],14,14 U.M.S CHANDRADEEP W. PART,M,1,560,24.936726,85.856598,yes,yes,yes
240-Sikandra (SC) [38-Jamui],14A,14 U.M.S CHANDRADEEP W. PART NEW BUILDING,A,561,1129,24.93673,85.856598,yes,yes,yes
240-Sikandra (SC) [38-Jamui],15,15 U.M.S CHANDRADEEP E. PART,M,1,807,24.936726,85.856578,yes,yes,yes
240-Sikandra (SC) [38-Jamui],16,16 N.P.S MAKTAB BELA E.PART,M,1,503,24.940225,85.8506936,yes,yes,yes
240-Sikandra (SC) [38-Jamui],16A,16 (A) N.P.S MAKTAB BELA W. PART,A,504,1009,24.94024,85.85068,yes,yes,yes
240-Sikandra (SC) [38-Jamui],17,17 U.M.S BAHCHHA,M,1,700,24.961915,85.896639,yes,yes,yes
240-Sikandra (SC) [38-Jamui],18,18 U.M.S SEVE S. PART,M,1,588,24.964278,85.878871,yes,yes,yes
240-Sikandra (SC) [38-Jamui],18A,18 U.M.S SEVE N. PART,A,589,1156,24.96279,85.879161,yes,yes,yes
240-Sikandra (SC) [38-Jamui],19,19 P.S ECHOUR,M,1,826,24.955652,85.876351,yes,yes,yes
240-Sikandra (SC) [38-Jamui],20,20 U.M.S CHAURASA,M,1,962,24.95011,85.870001,yes,yes,yes
240-Sikandra (SC) [38-Jamui],21,21 P.S PARSAMA,M,1,128,24.940311,85.875262,yes,yes,yes
240-Sikandra (SC) [38-Jamui],22,22 M.S ABGILA E. PART,M,1,646,24.941841,85.87568,yes,yes,yes
240-Sikandra (SC) [38-Jamui],23,23 M.S ABGILA CHAURASA W. PART,M,1,730,24.941857,85.875485,yes,yes,yes
240-Sikandra (SC) [38-Jamui],24,24 U.M.S AMBA,M,1,598,24.94303,85.885687,yes,yes,yes
240-Sikandra (SC) [38-Jamui],25,25 U.M.S PALSA KHURD N. PART,M,1,729,24.927085,85.858235,yes,yes,yes
240-Sikandra (SC) [38-Jamui],26,26 U.M.S PALSA KHURD S. PART,M,1,708,24.927789,85.858021,yes,yes,yes
240-Sikandra (SC) [38-Jamui],27,27 M.S NONI N. PART,M,1,754,24.986452,85.868508,yes,yes,yes
240-Sikandra (SC) [38-Jamui],28,28 M.S NONI S. PART,M,1,592,24.986686,85.868723,yes,yes,yes
240-Sikandra (SC) [38-Jamui],29,29 ANUSUCHIT JAATI SAMUDHAYIK BHAWAN DABHA,M,1,474,24.997926,85.871461,yes,yes,yes
240-Sikandra (SC) [38-Jamui],30,30 P.S SOLAH PUR,M,1,629,24.970878,85.860935,yes,yes,yes
240-Sikandra (SC) [38-Jamui],31,31 U.M.S BARA E.PART,M,1,519,24.97274,85.8622,yes,yes,yes
240-Sikandra (SC) [38-Jamui],31A,31 U.M.S BARA W. PART,A,520,1051,24.97274,85.862201,yes,yes,yes
240-Sikandra (SC) [38-Jamui],32,32 U.M.S SANPO S. PART,M,1,571,24.972345,85.862078,yes,yes,yes
240-Sikandra (SC) [38-Jamui],32A,32 U.M.S SANPO N. PART RIGHT SIDE,A,572,1142,24.98556,85.888055,yes,yes,yes
240-Sikandra (SC) [38-Jamui],33,33 U.M.S.SANPO N. PART,M,1,442,24.985074,85.888132,yes,yes,yes
240-Sikandra (SC) [38-Jamui],34,34 U.M.S KHOLHANA,M,1,945,24.972518,85.885046,yes,yes,yes
240-Sikandra (SC) [38-Jamui],35,35 U.M.S HAIDRA,M,1,547,24.969762,85.901139,yes,yes,yes
240-Sikandra (SC) [38-Jamui],36,36 M.S MAINACHTAR,M,1,833,24.971941,85.895313,yes,yes,yes
240-Sikandra (SC) [38-Jamui],37,37 U.M.S CHATIYANI N. PART,M,1,692,25.00026,85.893695,yes,yes,yes
240-Sikandra (SC) [38-Jamui],38,38 M.S CHATIYANI S. PART,M,1,636,25.000238,85.893716,yes,yes,yes
240-Sikandra (SC) [38-Jamui],39,39 U.M.S NAVINAGAR,M,1,896,24.989997,85.931323,yes,yes,yes
240-Sikandra (SC) [38-Jamui],40,40 U.M.S HATHIYA,M,1,607,24.987044,85.918884,yes,yes,yes
240-Sikandra (SC) [38-Jamui],41,41 N.P.S MANDRA MUSHARI,M,1,975,24.978751,85.90231,yes,yes,yes
240-Sikandra (SC) [38-Jamui],42,42 M.S DINNAGAR N.PART,M,1,550,25.000419,85.921413,yes,yes,yes
240-Sikandra (SC) [38-Jamui],42A,42 M.S DINNAGAR S. PART,A,551,1101,25.00025,85.921394,yes,yes,yes
240-Sikandra (SC) [38-Jamui],43,43 M.S DINNAGA E. PART,M,1,506,25.000252,85.921397,yes,yes,yes
