Timestamp,AC No. & AC Name,Polling Station No.,Polling Station Type,Photo of Polling Station Building (PSB),Photo of Polling Station Premises with PS Building (PSP)
17/09/2020 17:28:26,50-Jokihat [7-Araria],001,Main,https://drive.google.com/open?id=1oPLFyoCcJppHprlmernylv24o0v36XSh,https://drive.google.com/open?id=1mA7swrHVtKlD_XtvLnOkA8QpkpJfejMC
17/09/2020 17:30:32,50-Jokihat [7-Araria],001,Auxiliary,https://drive.google.com/open?id=1CMguihoyYO_EY__qVlvWuHk4njIiDRK5,https://drive.google.com/open?id=1Y2QGICkMjUPWl7NCutYr_ZgPkui-2Duk
26/09/2020 21:55:19,48-Forbesganj [7-Araria],007,Main,https://drive.google.com/open?id=18V9-2d9tW8sn4PH_mZEEAD1EJkJQCxP6,https://drive.google.com/open?id=1FGKS5nLXGrlr8c12EkB8dl_38FNpEa_a
26/09/2020 21:56:46,48-Forbesganj [7-Araria],008,Main,https://drive.google.com/open?id=1g-ZS8TbnJZcxnWpcXJMzIZjz66NyRPqf,https://drive.google.com/open?id=1wfirCBQBdkFeSPcEb_Z5pbRwuYTwFStl
26/09/2020 21:58:37,48-Forbesganj [7-Araria],009,Main,https://drive.google.com/open?id=1rCp1b1oZZ8P0A2cUbYx2ZGQp6yEfaPST,https://drive.google.com/open?id=1qIH6PyCuVbMcFbqm4_lxjaj33_f3u_Jk
26/09/2020 21:59:48,48-Forbesganj [7-Araria],009,Auxiliary,https://drive.google.com/open?id=1u7A4rsR_Sub44oyB9Jf2OJekXpz5kBTE,https://drive.google.com/open?id=1CqtbEMP0srZ-nQIknl_uDPEvmgVcCuIh
26/09/2020 22:00:53,48-Forbesganj [7-Araria],007,Auxiliary,https://drive.google.com/open?id=1ZpnGi0xfTOYb07-Z7Yc5FkUQ5_Uf9hB7,https://drive.google.com/open?id=1at6LLA1IMKCt3u-L6-rrv746By_Sfy9q
26/09/2020 22:01:45,48-Forbesganj [7-Araria],008,Auxiliary,https://drive.google.com/open?id=1Zp-AlZxSvihsdxh22R00rPKhQpC32J8_,https://drive.google.com/open?id=1E-LtmdG9VSc0PikI594c5eMasntJryOw
26/09/2020 22:02:59,48-Forbesganj [7-Araria],013,Main,https://drive.google.com/open?id=1RAuZJ0kbK6VPq0zrHakvG12neoOGIKxi,https://drive.google.com/open?id=1Ei0DLjRILUROKsYp0lbCpcv-l8567GsZ
26/09/2020 22:03:57,48-Forbesganj [7-Araria],014,Main,https://drive.google.com/open?id=1oViWF1O3cnpItpBhIxjNb7We1AHnVhUB,https://drive.google.com/open?id=1t8thF3dSPcUZDVJ1zrgruFAK7TGZNBkX
26/09/2020 22:04:44,48-Forbesganj [7-Araria],014,Auxiliary,https://drive.google.com/open?id=1FX6ZFTEaZWlNUlrMux6GOZ5nN86p2zs4,https://drive.google.com/open?id=1ipN0AxxZrajZOXKVwp_7O8hmJ9ye9ncb
26/09/2020 22:05:46,48-Forbesganj [7-Araria],025,Main,https://drive.google.com/open?id=1fbrbzJVMVdEFJklWQYD-Ma4tVTkzHdsz,https://drive.google.com/open?id=1IAKUPzhb8y6aVFD7mM8z2CPSQw7LD7TE
26/09/2020 22:06:44,48-Forbesganj [7-Araria],026,Main,https://drive.google.com/open?id=1kB3V_sXr9DOabxSfej7HlZU8RWFDOwXJ,https://drive.google.com/open?id=173d2cGDJig6ATqVamyHqZSwXxHLa4HeX
26/09/2020 22:08:03,48-Forbesganj [7-Araria],029,Main,https://drive.google.com/open?id=1s32FXwthV5UMRob_crBV4aP6Z3QQiGJl,https://drive.google.com/open?id=1Br9OQL3CoL5G-oKqUEWKGtUmAvkau3wz
26/09/2020 22:08:56,48-Forbesganj [7-Araria],026,Auxiliary,https://drive.google.com/open?id=1Yu8CO4ur1VmP7abnJWZ8P-vPUm3KhE1s,https://drive.google.com/open?id=1y5M6cn_PDg1ICWd9Qtx6PsCGvop9-61B
26/09/2020 22:09:49,48-Forbesganj [7-Araria],029,Main,https://drive.google.com/open?id=1notPoXh_65ns9Vxsavp3Sqhiz7vvtbD8,https://drive.google.com/open?id=1MOHMUFwZ5LPibt0nyjea-AyXSwElWH-4
26/09/2020 22:14:06,48-Forbesganj [7-Araria],029,Main,https://drive.google.com/open?id=186v9sxg9tvdNk4JVbCtrePM9Wrxw10ia,https://drive.google.com/open?id=1MC_XYP4ICcO9_G-Tw7RJnv2mCIyduyjf
26/09/2020 22:15:36,48-Forbesganj [7-Araria],029,Auxiliary,https://drive.google.com/open?id=1Dqgx2E2JZJ0rZUbnX-95HGyaBzwZdGGV,https://drive.google.com/open?id=1Qx3l-Wb5kdDElyxJvFTugFlzVqedO8TO
26/09/2020 22:16:38,48-Forbesganj [7-Araria],031,Main,https://drive.google.com/open?id=1Hfy-NtpTBMvZ7jdpxvsfH1JbuenW7mA6,https://drive.google.com/open?id=1gc8D30r61d8t22v14YOvmk-MpOKLH4nZ
26/09/2020 22:17:47,48-Forbesganj [7-Araria],031,Auxiliary,https://drive.google.com/open?id=1aTm7yViWTc3FlE28k3YELrLJKBtgcSKk,https://drive.google.com/open?id=1sFhFkpMcGP1Yq1-ANqFEpmVcsUS8G5CQ
26/09/2020 22:18:58,48-Forbesganj [7-Araria],035,Main,https://drive.google.com/open?id=16EaItIfk4LN7HiQRFCVEAHjyPs8GTrN2,https://drive.google.com/open?id=1sAFMhBBou__IiP7EbKbWi_HvvV31IoaR
26/09/2020 22:20:06,48-Forbesganj [7-Araria],036,Main,https://drive.google.com/open?id=17tGzQt3My7pKMDonwfwp2f1ffb7bVtrG,https://drive.google.com/open?id=1Lq40Nv6PAluewKur9fGk-eZZzXew7LIJ
26/09/2020 22:21:15,48-Forbesganj [7-Araria],036,Auxiliary,https://drive.google.com/open?id=1xWiMg4yyKB06FbzRTRqj0uXh-g1AVirX,https://drive.google.com/open?id=19Egb84q9t1ks1Ku265ZYVhvV0TtHEd7P
